flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Kumar Ravish,8126727675, Ishq Mein Shahar Hona,272,115,4.3,Ishq Mein Shahar Hona ( Volume 1 of Laprek Trilogy),by Ravish Kumar,4,308,8126727675,119
  NCERT,8174506136, Political Theory Textbook For Class XI 1 Edition,134,61,4.3,Political Theory Textbook for Class - 11  - 11117,by NCERT,3.8,24,8174506136,70
  unknown,9312147307, General Knowledge 2019,8181,30,4.3,General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19
  Bhatnagar Nipendra,9351416348, Ncert Solutions Physics Class 11th,677,103,4.3,CBSE NCERT Solutions Physics Class 11  for 2018 - 19,by Nipendra Bhatnagar,4,89,9351416348,166
  Khurmi R. S.,8121906288, Mechanical Engineering,5214,520,4.3,Mechanical Engineering: Conventional and Objective Types (2018-19 Session),by R.S. Khurmi,4,603,8121906288,430
  Amit M. Agarwal,9313166755, 11 yeaars Solved Papers 2018-2008 MCA Entrances,38,232,4.3,How to Crack Test Of Reasoning,by Jaikishan,5,3,9313166755,142
  Balagurusamy,9351343200, Programming in Java- 5e,1252,480,4.3,Programming with Java,by Balagurusamy,4.2,105,9351343200,474
  Dreamland Publications,8184511523, India Map,29,104,4.3,India Map,by Dreamland Publications,4.6,594,8184511523,91
  Hedges Burke,8182744466, Copycat Marketing 101,548,125,4.3,Copycat Marketing 101,by Burke Hedges,4.2,206,8182744466,90
  Mohnish Pabrai,8126564636, Dhandho Investor the Low-Risk Value Method to High Returns,181,268,4.3,The Dhandho Investor: The Low-Risk Value Method to High Returns,by Mohnish Pabrai,4.2,169,8126564636,196
  Coelho Paulo,8172235151, The Devil and Miss Prym,189,218,4.3,Devil and Miss Prym,by Paulo Coelho,4.1,23,8172235151,218
  S. Radhakrishnan,8172238452, THE HINDU VIEW OF LIFE,170,191,4.3,The Hindu View Of Life,by S. Radhakrishnan,4.3,41,8172238452,149
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3,Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218,8183225101,72
  Sharma Savi,9386224399, This is Not Your Story,5133,125,4.3,This Is Not Your Story,by Savi Sharma,4.5,2177,9386224399,100
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3,You are My Reason to Smile,by Arpit Vageria,4.4,470,9382665889,88
  Savi Sharma,9386036754, Everyone Has A Story,7731,125,4.3,Everyone Has A Story,by Savi Sharma,4.1,3372,9386036754,100
  Sudeep Nagarkar,8184005849, You're the Password to My Life,3013,131,4.3,You’re the Password to My Life,by Sudeep Nagarkar,4.2,447,8184005849,102
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3,Nothing Lasts Forever,by Vish Dhamija,3.9,254,9380349246,105
  Shenoy Preeti,9386036452, It's All in the Planets,732,196,4.3,It's All in the Planets,by Preeti Shenoy,4.3,403,9386036452,167
  Segal Erich,1444776967, Love Story,910,103,4.3,Love Story,by Erich Segal,4.3,113,1444776967,103
  unknown,9383643242, A Handbook for Computer Science /it Engineering,490,191,4.3,A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts,by Made Easy Editorial Board,4,180,9383643242,247
  Lakhmir Singh' and  ' Manjit Kaur,9352530241, Lakhmir Singh's Science Book-8- 1/e,35,344,4.3,Science for Class 8,by Lakhmir Singh,4.4,44,9352530241,360
  ARIHANT TEAM,9313166607, Magbook General Science 2019,64,136,4.3,Magbook General Science 2019,by Arihant Expert,3.6,5,9313166607,112
  Disha Experts,9388026330, Olympiad Champs Science Class 4 with Past Olympiad Questions 3rd Edition,18,114,4.3,Olympiad Champs Science Class 4 with Past Olympiad Questions,by Disha Experts,4.4,8,9388026330,180
  unknown,9312147307, General Knowledge 2019,8181,30,4.3,General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19
  unknown,9312140221, Ctet Success Master Science Social/Studies Paper-II for Class vi-VIII,567,286,4.3,CTET Success Master Science Social/Studies Paper-II  for Class VI-VIII,by Arihant Experts,4.2,39,9312140221,275
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3,Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218,8183225101,72
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3,How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,by Aditi Singhal,4.4,147,8184005210,242
  Sanghi Ashwin,9386224763, 13 Steps to Bloody Good Marks,140,100,4.3,13 Steps to Bloody Good Marks,by Ashwin Sanghi,4.6,116,9386224763,90
  unknown,8180320235, Know Your Worth - Stop Thinking- Start Doing,36,251,4.3,"Know Your Worth: Stop Thinking, Start Doing (General Press)",by N K Sondhi,4.4,132,8180320235,221
  Vageria Arpit,9382665889, You are My Reason to Smile,902,101,4.3,You are My Reason to Smile,by Arpit Vageria,4.4,470,9382665889,88
  Hill Napoleon,8183223133, Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,196,203,4.3,Think and Grow Rich 21St Cent. Edition,by Napoleon Hill,4.4,92,8183223133,189
  Deep Trivedi,9384850098, I am The Mind,577,199,4.3,I am The Mind,by Deep Trivedi,4.1,172,9384850098,236
  Rhonda Byrne,8183220940, Rahasya (Hindi Of The Secret),3981,233,4.3,Rahasya,by Rhonda Byrne,4.6,870,8183220940,233
  Bansal Rashmi,9386850702, Touch The Sky - The Inspiring Stories of Women From Across India Who are Writing their Own Destiny,104,125,4.3,Touch the Sky: The inspiring stories of women from across India who are writing...,by Rashmi Bansal - Abridged,3.7,38,9386850702,109
  Hedges Burke,8182744466, Copycat Marketing 101,548,125,4.3,Copycat Marketing 101,by Burke Hedges,4.2,206,8182744466,90
  Hill Napoleon,8183220797, Success,97,160,4.3,Success - the Best of Napoleon Hill,by Napoleon Hill,4.4,40,8183220797,144
  TV18 Broadcast Ltd,9387860191, Everything You Wanted to Know About Stock Market Investing,35,320,4.3,Everything You Wanted To Know About Stock Market Investing - Revised & Updated...,by TV18 Broadcast LTD (CNBC TV18),4.4,16,9387860191,284
  BRIAN TRACY,8183221785, LAKSHYA,128,150,4.3,Lakshya (Goals) (Hindi),by Brian Tracy,4.5,90,8183221785,202
  unknown,9312140221, Ctet Success Master Science Social/Studies Paper-II for Class vi-VIII,567,286,4.3,CTET Success Master Science Social/Studies Paper-II  for Class VI-VIII,by Arihant Experts,4.2,39,9312140221,275
  Rastogi Sudha,8122421741, Social Science,204,507,4.3,Golden Social Science: (With Sample Papers) A Refresher for Class 10 (For 2019...,by Rastogi Sudha,3.9,32,8122421741,498
  Ahuja Ram,8131606279, Social Problems in India,618,295,4.3,Social Problems In India,by Ram Ahuja,4.1,139,8131606279,260
  Kamala Das,8172238975, MY STORY,322,178,4.3,My Story,by Kamala Das,4.5,42,8172238975,178
  Virginia Woolf,8175994215, Mrs. Dalloway,24,150,4.3,Mrs. Dalloway,by Virginia Woolf,4.2,33,8175994215,99
  Tripathi Amish,8193432002, Immortal India,782,159,4.3,"Immortal India: Young Country, Timeless Civilisation, Non-Fiction, Amish explores...",by Amish Tripathi,4.2,216,8193432002,159
  Aditi Singhal' and  ' Sudhir Singhal,8184005210, How to Memorize Anything - The Ultimate Handbook to Explore and Improve Your Memory,598,255,4.3,How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,by Aditi Singhal,4.4,147,8184005210,242
  Neelakantan Anand,9381576033, Ajaya: Book 1,667,230,4.3,Roll of the Dice: Duryodhana’s Mahabharata (Ajaya Book 1),by Anand Neelakantan,4.2,345,9381576033,319
  Luca Caioli,1785782312, Ronaldo 2018 Updated Edition,26,200,4.3,Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli),by Luca Caioli,5,9,1785782312,359
  Memon Ayaz,8184955235, M S Dhoni - Captain Cool,133,150,4.3,M S Dhoni: Captain Cool,by Ayaz Memon - Import,4.3,31,8184955235,110
  Dr. Natarajan N.K.,8184955693, SSB Interview - The Complete Guide,3371,148,4.3,SSB Interview: The Complete Guide,by Dr. N.K. Natarajan,4.4,515,8184955693,148
  Khurmi R. S.,8121906288, Mechanical Engineering,5214,520,4.3,Mechanical Engineering: Conventional and Objective Types (2018-19 Session),by R.S. Khurmi,4,603,8121906288,430
  Mehta V. K.,8121920973, Objective Electrical Technology,2905,494,4.3,Objective Electrical Technology (2018-19 Session),by V.K Mehta,4.1,393,8121920973,494
  Amiya Ranjan Mallick,8120351398, Practical Boiler Operation Engineering and Power Plant,185,499,4.3,Practical Boiler Operation Engineering and Power Plant,by Amiya Ranjan Mallick,4.4,89,8120351398,499
  unknown,9383643242, A Handbook for Computer Science /it Engineering,490,191,4.3,A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts,by Made Easy Editorial Board,4,180,9383643242,247
  Mahadevan K.,8123923155, Design Data Handbook for Mechanical Engineering in SI and Metric Units,661,344,4.3,Design Data Handbook for Mechanical Engineering in SI and Metric Units,by K. Mahadevan - Import,4.3,76,8123923155,316
  NCERT,8174506489, Chemistry (Class XII) (Part I) 1 Edition,666,163,4.3,Chemistry Textbook Part - 1 for Class - 12  - 12085,by NCERT,3.7,94,8174506489,170
  Bharucha Erach,8173718628, Textbook of Environmental Studies for Undergraduate Courses,434,200,4.3,Textbook of Environmental Studies for Undergraduate Courses,by Erach Bharucha,4.1,92,8173718628,225
  MTG EDITORIAL BOARD,9387747425, NCERT Text Book+Exemplar Problems-Solutions Mathematics Class 10,16,180,4.3,NCERT Text Book with Exemplar Problems-Solutions: Mathematics Class 10,by MTG Editorial Board,5,3,9387747425,186
  NCERT,8174506136, Political Theory Textbook For Class XI 1 Edition,134,61,4.3,Political Theory Textbook for Class - 11  - 11117,by NCERT,3.8,24,8174506136,70
  Bond Ruskin,8129144972, The Perfect Murder,279,118,4.3,The Perfect Murder,by Ruskin Bond - Import,3.8,56,8129144972,195
  Dhamija Vish,9380349246, Nothing Lasts Forever,421,105,4.3,Nothing Lasts Forever,by Vish Dhamija,3.9,254,9380349246,105
  Sanghi Ashwin,9381626812, Chanakya's Chant,1849,244,4.3,Chanakya's Chant: Book 2 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4.1,585,9381626812,244
  Doyle Christopher C.,9385724223, The Secret of the Druids,182,209,4.3,The Secret of the Druids (Mahabharata Quest Series Book 2),by Christopher C. Doyle,4.1,273,9385724223,179
  Dreamland Publications,8184511523, India Map,29,104,4.3,India Map,by Dreamland Publications,4.6,594,8184511523,91
  Murphy Joseph,8183225101, Miracles of Your Mind,1399,117,4.3,Miracles of Your Mind,by Dr. Joseph Murphy,4.2,218,8183225101,72
  Sudeep Nagarkar,8184005849, You're the Password to My Life,3013,131,4.3,You’re the Password to My Life,by Sudeep Nagarkar,4.2,447,8184005849,102
  Kamala Das,8172238975, MY STORY,322,178,4.3,My Story,by Kamala Das,4.5,42,8172238975,178
  Usman Yasser,8193284186, Rekha,127,239,4.3,Rekha: The Untold Story,by Yasser Usman,3.7,72,8193284186,256
  RANDY PAUSCH,8183223583, THE LAST LECTURE,21,166,4.3,The Last Lecture,by Randy Pausch,4.3,18,8183223583,166
  Gayle Forman,1909531235, If I Stay,638,255,4.3,If I Stay,by Gayle Forman,3.9,111,1909531235,255
  Meyer Marissa,1509818022, Heartless - Before she was the Queen of Hearts she was just a Girl who wanted to Fall in Love,19,380,4.3,Heartless,by Marissa Meyer,4.3,26,1509818022,350
  Northup Solomon,8175994479, 12 years a slave : - A True Story,56,140,4.4,12 Years a Slave,by Solomon Northup,4.5,41,8175994479,99
  unknown,9386867168, Commando - Mossad,30,298,4.4,Commando,by Michael Bar-Zohar,3.7,15,9386867168,333
  Zaidi' and  ' S. Hussain,9351362256, BYCULLA TO BANGKOK,458,176,4.4,Byculla to Bangkok,by S. Hussain Zaidi,4.1,96,9351362256,192
  Sharma Robin,8184959893, Little Black Book for Stunning Success + Tools for Action Mastery,104,220,4.4,Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67,8184959893,220
  unknown,9350899477, Rejuvenate Yourself- Floral Patterns,22,186,4.4,Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59,9350899477,140
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4,Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182
  Paulo Coelho,8172235631, ELEVEN MINUTES,2201,209,4.4,Eleven Minutes,by Paulo Coelho,4.2,234,8172235631,167
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651,9385152149,240
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793,9386224445,162
  Shouvik Bhattacharya,9386643723, Murder in a Minute,338,162,4.4,Murder in a Minute,by Shouvik Bhattacharya,4.4,277,9386643723,188
  Vineet Bajpai,9352685482, Harappa - Curse of the Blood River,614,132,4.4,Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680,9352685482,185
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4,Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182
  Thindiath Rajani,9350853736, Suppandi 3,175,76,4.4,Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59,9350853736,76
  Narayan R. K.,8185986002, Swami and Friends,1423,112,4.4,Swami and Friends,by R. K. Narayan,4.6,204,8185986002,114
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608,9382618341,282
  Sanghi Ashwin,9386850648, Keepers of the Kalachakra,670,231,4.4,Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4,472,9386850648,100
  Donald J. Trump' and  ' Tony Schwartz,1784758248, Trump - The Art of the Deal,63,320,4.4,Trump: The Art of the Deal,by Donald Trump,4,51,1784758248,320
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4,"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444,9352641345,178
  unknown,8125056866, The Orient Black Swan School Atlas,707,299,4.4,The Orient Blackswan School Atlas with CD,by OBS,4.1,479,8125056866,236
  Dreamland Publications,8184511213, World Map,48,130,4.4,World Map,by Dreamland Publications,4.5,856,8184511213,91
  Moriarty Liane,1405911662, The Husband's Secret,44,340,4.4,"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",by Liane Moriarty,3.6,31,1405911662,221
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4,General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156
  Lewis Norman,8183071007, Word Power Made Easy,25786,111,4.4,Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",8183071007,76
  Aggarwal R. S.,9352534026, Quantitative Aptitude for Competitive Examinations 2017 Edition,15290,450,4.4,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4,Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4,The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
  unknown,9387949222, Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,492,570,4.4,Objective NCERT at your Fingertips - Biology,Not Available,4.7 out of 5 stars,268,9387949222,408
  Madaan K.V.S,9332551731, CBSE UGC NET/SET/JRF,2001,249,4.4,NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4 out of 5 stars,505,9332551731,216
  Wren Martin,9352530144, High School English Grammar & Composition,1197,293,4.4,High School English Grammar and Composition Book (Regular Edition),Not Available,4.4 out of 5 stars,883,9352530144,259
  Verma Rajesh,9312149830, Fast Track Objective Arithmetic,2808,266,4.4,Fast Track Objective Arithmetic,Not Available,4.3 out of 5 stars,"2,876",9312149830,223
  Charles Duhigg,1847946240, The Power of Habit,1682,305,4.4,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4 out of 5 stars,639,1847946240,286
  Robert T. Kiyosaki,8186775218, Rich Dad Poor Dad,5259,150,4.4,Rich Dad Poor Dad,Robert T. Kiyosaki,4.5 out of 5 stars,"3,563",8186775218,135
  Amish,9382618341, Oath of the Vayuputras,8408,282,4.4,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608,9382618341,282
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651,9385152149,240
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,627,8175993952,88
  Covey Stephen R.,1471131823, The 7 Habits Of Highly Effective People,2290,373,4.4,The 7 Habits of Highly Effective People,Not Available,4.0 out of 5 stars,"1,093",1471131823,311
  Northup Solomon,8175994479, 12 years a slave : - A True Story,56,140,4.4,12 Years a Slave,by Solomon Northup,4.5,41,8175994479,99
  Simon Sebag Montefiore,1780220251, Jerusalem: The Biography,66,352,4.4,Jerusalem: The Biography,by Simon Sebag Montefiore,4.6,17,1780220251,524
  Austen Jane,8172344503, Pride & Prejudice,629,182,4.4,Pride & Prejudice,by Jane Austen,4.3,352,8172344503,79
  Kalam A. P. J. Abdul,9350487977, Meri Jeevan Yatra,305,143,4.4,Meri Jeevan Yatra,by A.P.J. Abdul Kalam,4.7,146,9350487977,150
  Agarwal Satish C.,8175994711, Shirdi Sai Baba: - Reflections for World Peace and Happy Living,13,190,4.4,"Shirdi Sai Baba: Life, Philosophy & Teachings",by Satish C. Agarwal,4.1,10,8175994711,159
  Abdul Kalam A. P. J.,9350641003, Turning Points,235,185,4.4,Turning Points (Hindi),by A.P.J. Abdul Kalam,4.7,409,9350641003,160
  Sharma Robin S.,8179922324, Who Will Cry When You Die?,5611,115,4.4,Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103
  Amish,9385152149, Ram - Scion of Ikshvaku,6160,240,4.4,Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651,9385152149,240
  Lewis Norman,8183071007, Word Power Made Easy,25786,111,4.4,Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",8183071007,76
  Carnegie Dale,8175993952, How To Stop Worrying And Start Living,93,125,4.4,How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,627,8175993952,88
  Paulo Coelho,8172235437, VERONIKA DECIDES TO DIE,1393,209,4.4,Veronika Decides to Die,by Paulo Coelho,4.4,202,8172235437,186
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4,The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4,The Leader Who Had No Title,by Robin Sharma,4.4,393,8184951191,189
  Barbara Pease' and  ' Allan,8183220142, The Definitive Book of Body Language,643,299,4.4,The Definitive Book of Body Language,by Allan Pease,4.4,137,8183220142,255
  Byrne Rhonda,1849838399, The Magic,2498,255,4.4,The Magic,by Rhonda Byrne,4.6,602,1849838399,230
  Byrne Rhonda,1849838399, The Magic,2498,255,4.4,The Magic,by Rhonda Byrne,4.6,602,1849838399,230
  Aggarwal R. S.,9352534026, Quantitative Aptitude for Competitive Examinations 2017 Edition,15290,450,4.4,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427
  Sharma Robin,8184959893, Little Black Book for Stunning Success + Tools for Action Mastery,104,220,4.4,Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67,8184959893,220
  Pease Allan,8186775056, Questions are the Answers,1891,76,4.4,Questions Are the Answers,by Allan Pease,4.4,226,8186775056,83
  Deodhar Satish Y,8184001630, IIMA,1706,173,4.4,IIMA - Day to Day Economics,by Satish Y. Deodhar,4.4,314,8184001630,173
  Covey Stephen R.,1471131823, The 7 Habits Of Highly Effective People,2290,373,4.4,The 7 Habits of Highly Effective People,Not Available,4.0 out of 5 stars,"1,093",1471131823,311
  Kiyosaki Robert T.,8183221645, The Business School,149,149,4.4,The Business School,by Robert Kiyosaki,4.2,18,8183221645,185
  Guillebeau Chris,1447286316, The $100 Startup,198,298,4.4,"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More",by Chris Guillebeau,4,112,1447286316,239
  Kenneth Blanchard,8172234996, ONE MINUTE MANAGER,1087,118,4.4,The One Minute Manager,by Kenneth Blanchard,4.4,234,8172234996,118
  Manshani Shanker,8183222692, Naye Zamane Ka Naya Business,118,195,4.4,Naye Zamane Ka Naya Business: Network Marketing,by Shanker Manshani,4.2,29,8183222692,190
  Nicholas Boothman,8183226957, Logo Ko 90 Seconds Main Prabhavit Kare (Hindi),9,215,4.4,Logon ko 90 seconds Mein Kaise Prabhavit Karen,by Nicholas Boothman,4.3,21,8183226957,207
  Philip Kotler' and  ' Hermawan Kartajaya' and  ' Iwan Setiawan,8126566930, Marketing 4.0 - Moving from Traditional to Digital,64,298,4.4,Marketing 4.0: Moving from Traditional to Digital,by Philip Kotler,4.2,50,8126566930,298
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4,Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182
  Bond Ruskin,8129137003, The Essential Collection for Young Readers,191,118,4.4,The Essential Collection for Young Readers,by Ruskin Bond,4.2,29,8129137003,195
  OM Books,8187107588, 365 Pancharantra Stories,242,396,4.4,365 Pancharantra Stories,by OM Books,4.1,180,8187107588,357
 ,1409300498, Baby Touch: Peekaboo,356,319,4.4,Baby touch: Peekaboo,by Lemon Ribbon Studio,4.3,596,1409300498,230
  Khan Azeem Ahmad,9380914199, Student's Encyclopedia of General Knowledge,859,131,4.4,Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189,9380914199,131
  Fitzgerald F. Scott,8172344562, The great Gatsby,654,142,4.4,The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4,Metamorphosis,by Franz Kafka,4.2,198,8172345135,69
  Shakespeare William,8175994193, Macbeth,180,117,4.4,Macbeth,by William Shakespeare,4.3,89,8175994193,99
  Darwin Charles,8172344880, The Origin of Species,142,188,4.4,The Origin of Species,by Charles Darwin,4.3,214,8172344880,189
  Thindiath Rajani,9350853736, Suppandi 3,175,76,4.4,Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59,9350853736,76
  Shriya Ghate,9350853701, Tantri the Mantri 4,64,79,4.4,Tantri the Mantri - 4,by Rajani Thindiath,4,7,9350853701,76
  Tanenbaum Andrew S.,9332518742, Computer Networks,304,493,4.4,"Computer Networks, 5e (5th Edition)",by Tanenbaum,4.2,61,9332518742,493
  Ashok Namdev Kamthane' and  ' Amit Ashok Kamthane,9387067572, Programming and Problem Solving with Python,171,416,4.4,Programming and Problem Solving with Python,by Ashok Namdev Kamthane,4.8,6,9387067572,519
  Binay Karna,9384761540, General Knowledge - lucent gk book,6418,180,4.4,General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,4.7,167,9387504921,320
  Er.Ankit Goel|Alka Singh,9312148222, Electronics and Communication Engineering GATE 2019,222,556,4.4,Electronics and Communication Engineering GATE 2019,by Ankit Goel,4.1,14,9312148222,669
  unknown,9350899477, Rejuvenate Yourself- Floral Patterns,22,186,4.4,Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59,9350899477,140
  Shouvik Bhattacharya,9386643723, Murder in a Minute,338,162,4.4,Murder in a Minute,by Shouvik Bhattacharya,4.4,277,9386643723,188
  Rachel Renee Russell,1471158039, DORK Diaries : Frenemies Forever,225,172,4.4,Dork Diaries Frenemies Forever,by Rachel Renee Russell,4.6,70,1471158039,182
  Philip Kotler' and  ' Hermawan Kartajaya' and  ' Iwan Setiawan,8126566930, Marketing 4.0 - Moving from Traditional to Digital,64,298,4.4,Marketing 4.0: Moving from Traditional to Digital,by Philip Kotler,4.2,50,8126566930,298
  Deodhar Satish Y,8184001630, IIMA,1706,173,4.4,IIMA - Day to Day Economics,by Satish Y. Deodhar,4.4,314,8184001630,173
  Pai Roopa,8129145197, So You Want to Know about Economics,172,118,4.4,So You Want to Know About Economics,by Roopa Pai - Import,4.7,65,8129145197,195
  unknown,9387504921, Oswaal CBSE Question Bank for Class 10 Social Science (Mar 2019 Exam),1539,303,4.4,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,by Oswaal Editorial Board,4.7,167,9387504921,320
  Pease Allan,8186775056, Questions are the Answers,1891,76,4.4,Questions Are the Answers,by Allan Pease,4.4,226,8186775056,83
  Khan Azeem Ahmad,9380914199, Student's Encyclopedia of General Knowledge,859,131,4.4,Student's Encyclopedia of General Knowledge (General Press),by Azeem Ahmad Khan,4.1,189,9380914199,131
  National Geographic Kathryn Thornton,1426208928, National Geographic Answer Book: 10-001 Fast Facts About Our World,63,898,4.4,"National Geographic Answer Book: 10,001 Fast Facts About Our World",by National Geographic,4,6,1426208928,750
  Robin Sharma,8179922308, Family Wisdom,280,200,4.4,Family Wisdom From The Monk Who Sold His Ferrari,by Robin Sharma,4.3,72,8179922308,214
  John Gray,8172235038, MEN ARE FROM MARS- WOMEN ARE FROM VENUS,2581,209,4.4,"Men are from Mars, Women are from Venus",by John Gray,4.4,427,8172235038,209
  Kiyoski Robert T.,8183223753, Panakkara Thanthai Yezhai Thanthai,600,220,4.4,Rich Dad Poor Dad (tamil),by Robert T Kiyosaki,4.5,361,8183223753,203
  Robin Sharma,8184951191, The Leader Who had no title,1344,160,4.4,The Leader Who Had No Title,by Robin Sharma,4.4,393,8184951191,189
  Rachel Renee Russell,1471158039, DORK Diaries : Frenemies Forever,225,172,4.4,Dork Diaries Frenemies Forever,by Rachel Renee Russell,4.6,70,1471158039,182
  Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),9352641345, Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,574,178,4.4,"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444,9352641345,178
  Kafka Franz,8172345135, Metamorphosis,466,94,4.4,Metamorphosis,by Franz Kafka,4.2,198,8172345135,69
  Neelakantan Anand,9386224445, The Rise of Sivagami,2442,162,4.4,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793,9386224445,162
  Bond Ruskin,8129118920, Great Stories for Children,2909,118,4.4,Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182
  Bond Ruskin,8171673406, The Blue Umbrella,2662,55,4.4,The Blue Umbrella,by Ruskin Bond,4.4,350,8171673406,95
