flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Tripathi Surya Prakash,9351194736, Introduction to Information Security and Cyber Laws,10,341,4,Introduction to Information Security and Cyber Laws,by Surya Prakash Tripathi,1,1,9351194736,332
  Singh K. Natwar,8129132745, One Life is not Enough - An Autobiography,726,288,4,One Life is not Enough: An Autobiography,by K. Natwar Singh,3.9,126,8129132745,225
  John Grisham,1473684587, The Reckoning - Some Crimes Make History,9,247,4,The Reckoning,by John Grisham,3.2,15,1473684587,247
  Walkenbach John,8126558946, Microsoft Excel 2016 Bible,55,749,4,Microsoft Excel 2016 Bible: The Comprehensive Tutorial Resource,by John Walkenbach,3.9,49,8126558946,833
  Rama Swami,8183225454, Meditation and its practice,28,88,4,Meditation and Its Practice,by Swami Rama,4.5,26,8183225454,81
  Staff of the Harvard Crimson,1250127556, 50 Successful Harvard Application Essays,5,299,4,50 Successful Harvard Application Essays: What Worked for Them Can Help You Get...,by Harvard Crimson,5,4,1250127556,319
  John Grisham,1473684587, The Reckoning - Some Crimes Make History,9,247,4,The Reckoning,by John Grisham,3.2,15,1473684587,247
  GHOSH BISHWANATH,9380032862, Chai- Chai: Travels in Places Where You Stop But Never Get Off,135,194,4,"Chai, Chai: 1",by Bishwanath Ghosh,3.7,92,9380032862,275
  Singh K. Natwar,8129132745, One Life is not Enough - An Autobiography,726,288,4,One Life is not Enough: An Autobiography,by K. Natwar Singh,3.9,126,8129132745,225
  Bhagat Chetan,8129137429, Making India Awesome,1779,112,4.1,Making India Awesome: New Essays and Columns,by Chetan Bhagat,3.8,1188,8129137429,100
  Chokkan N,8173157685, Corporate Guru Narayan Murthy,10,147,4.1,Corporate Guru Narayan Murthy,by N Chokkan,4.1,4,8173157685,150
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Vivekanand Swami,8170289262, Inspiring Thoughts,499,107,4.1,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,4.2,306,8170289262,107
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Miriyala Kanth,8129123932, Entrepreneur 5 P.M. to 9 a.M.,320,118,4.1,Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up without Quitting...,by Kanth Miriyala,4,58,8129123932,195
  Jeremy Kourdi,1444796119, The Big 100: The 100 Business Tools You Need To Succeed,28,197,4.1,The Big 100: The 100 Business Tools You Need to Succeed,by Jeremy Kourdi,4.8,6,1444796119,208
  Poonam Gandhi,9387516644, VK Business Studies Class 12 - Business Studies,35,381,4.1,Business Studies Class 12 - CBSE 2018,by Gandhi. Poonam,4.4,8,9387516644,375
  Shikha Agarwal,9386320177, Computer Knowledge for SBI/ IBPS Clerk/ PO/ RRB/ RBI/ SSC/ Railways/ Insurance Exams 2nd Edition,482,104,4.1,Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams,by Shikha Agarwal,3.5,46,9386320177,93
  Arihant Experts,9312144960, PGT Self Prepration Guide Economics Recruitment Examination,39,227,4.1,KVS PGT Self Preparation Guide Economics Recruitment Examination,by Arihant Experts,3.3,3,9312144960,228
  Sanjay Kumar,9350126672, Objective Economics,17,147,4.1,Objective Economics (वस्तुनिष्ठ अर्थशास्त्र),by Sanjay Kumar,3.4,8,9350126672,135
  unknown,9352531299, Indian Economy,166,499,4.1,Indian Economy,by Gaurav  Datt,3.6,48,9352531299,499
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Neelakantan Anand,9386224607, Shivagami Kadha Bahubali Bhagam 1 - The Rise Of Sivagami Telugu,137,197,4.1,Shivagami Kadha  Bahubali  Bhagam 1: The Rise Of Sivagami Telugu,by Anand Neelakantan,3.6,28,9386224607,255
  Makhija Pooja,9352644875, Eat Delete Junior,39,176,4.1,Eat Delete Junior: Child Nutrition for Zero to Fifteen Years,by Pooja Makhija,3.8,24,9352644875,239
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Sanghi Ashwin,9384030570, 13 Steps to Bloody Good Luck,1457,114,4.1,13 Steps to Bloody Good Luck,by Ashwin Sanghi,4.1,522,9384030570,90
  Mahajan V. D.,8121903645, History of Medieval India,91,394,4.1,History of Medieval India,by V D Mahajan,3.9,11,8121903645,364
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  unknown,9311126691, Indian Air Force Airman Group 'Y' (Non-Technical Trades),551,156,4.1,Indian Air Force Airman Group 'Y' (Non-Technical Trades),by Arihant Experts,3.9,26,9311126691,165
  Arihant Experts,9311126780, Bhartiya Nausena Senior Secondary (SSR) Bharti Pariksha,226,198,4.1,Bhartiya Nausena Senior Secondary (SSR),by Arihant Experts,4.6,3,9311126780,203
  Bhagat Chetan,8129135728, Half Girlfriend,48324,106,4.1,Half Girlfriend,by Chetan Bhagat,4.2,6566,8129135728,106
  Napoleon Hill,8184955561, The Essence of Law of Success,82,167,4.1,The Essence of Law of Success (Hindi),by N Hil,4.4,8,8184955561,143
  Dubey Manish,9382665781, A Murder in Gurgaon,68,106,4.1,A Murder in Gurgaon,by Manish Dubey,3.9,69,9382665781,106
  Vivekanand Swami,8170289262, Inspiring Thoughts,499,107,4.1,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,4.2,306,8170289262,107
  Masih Y.,8120808541, Introduction to Religious Philosophy,31,325,4.1,Introduction to Religious Philosophy,by Y. Masih,3.7,8,8120808541,325
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Shenoy Preeti,9380349300, Life is What You Make it,10007,86,4.1,Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75
  Sanghi Ashwin,9384030570, 13 Steps to Bloody Good Luck,1457,114,4.1,13 Steps to Bloody Good Luck,by Ashwin Sanghi,4.1,522,9384030570,90
